Brand,Product_Name,Product_Category
Febreze,Febreze FABRIC Downy Calm,Fabric Spray
Febreze,Febreze FABRIC Sweet Peony,Fabric Spray
Febreze,Febreze FABRIC Pet Odor Fighter,Fabric Spray
Febreze,Febreze Touch Fabric Spray Ocean,Fabric Spray
Febreze,Febreze AIR Downy Calm,Air Freshener
Febreze,Febreze AIR LIGHT Sea Spray,Air Freshener
Febreze,Febreze AIR Mist Refresh & Energize ,Air Freshener
Febreze,Febreze AIR Heavy Duty Crisp Clean Air Freshener,Air Freshener
Febreze,Febreze CAR Downy Calm,Car Freshener
Febreze,Febreze CAR Serene Vanilla Sunrise,Car Freshener
Febreze,Febreze CAR LIGHT Sea Spray,Car Freshener
Ambi Pur,Ambi Pur Air Effect Lavender Bouquet Air Freshener,Air Freshener
Ambi Pur,Ambi Pur Air Effects Room Air Freshener Floral Escape ,Air Freshener
Ambi Pur,Ambi Pur Air Effects Air Freshener Sweet Berries,Air Freshener
Ambi Pur,Ambi Pur Car Freshener Gel Romantic Rose,Car Freshener
Ambi Pur,Ambi Pur Car Freshener Gel Relaxing Lavender,Car Freshener
Ambi Pur,Ambi Pur Vanilla Bouquet Car Vent Air Freshener,Car Freshener
Dawn,Dawn Original Dishwashing Liquid,Dishwashing Liquid
Dawn,"Dawn Platinum Dishwashing Liquid, Fresh Rain",Dishwashing Liquid
Dawn,"Dawn Free & Clear EZ-Squeeze Dish Soap, Unscented",Dishwashing Liquid
Dawn,"Dawn Gentle Clean EZ-Squeeze Dish Soap, Pomegranate Rose Water",Dishwashing Liquid
Dawn,"Dawn Antibacterial Hand Soap, Orange",Hand Soap
Dawn,"Dawn Antibacterial Hand Soap, Apple Blossom",Hand Soap
Dawn,"Dawn Antibacterial EZ-Squeeze Hand Soap, Apple Blossom",Hand Soap
Gain,Gain Ultra Original EZ-Squeeze Dish Soap Summer Watermelon,Dishwashing Liquid
Gain,Gain Ultra Dishwashing Liquid Dish Soap HoneyBerry Hula,Dishwashing Liquid
Gain,Gain Ultra Dishwashing Liquid Dish Soap Original,Dishwashing Liquid
Oral-B,Oral-B Charcoal Toothbrush,Toothbrush
Oral-B,Vivid Whitening Manual Toothbrush,Toothbrush
Oral-B,"Oral-B Brilliance Premium Whitening Toothbrush, Extra Soft",Toothbrush
Oral-B,Oral-B 3D White Pro-Flex Stain Eraser Toothbrush,Toothbrush
Oral-B,Oral-B Gum Care & Enamel Restore Toothpaste,Toothpaste
Oral-B,Oral-B 3D White Whitening Therapy Enamel Care,Toothpaste
Oral-B,Oral-B Tooth and Gum Care Toothpaste,Toothpaste
Oral-B,Oral-B Sensitivity and Gum All Day Protection,Toothpaste
Oral-B,Genius 7500 Rechargeable Electric Toothbrush,Electric Toothbrush
Oral-B,Pro 500 Rechargeable Electric Toothbrush,Electric Toothbrush
Oral-B,Smart 5000 Rechargeable Electric Toothbrush,Electric Toothbrush
Oral-B,iO Series 9 Electric Toothbrush,Electric Toothbrush
Oral-B,Oral-B Essential Floss,Floss
Oral-B,Oral-B Satin Floss Waxed Mint,Floss
Oral-B,Oral-B Glide Deep Clean Floss Mint,Floss
Oral-B,Oral-B Floss Picks,Floss
Oral-B,3D White Mouthwash,Mouthwash
Oral-B,Extra Fresh Mouthwash,Mouthwash
Oral-B,Deep Clean Mouthwash,Mouthwash
Crest,"Crest 3D White Brilliance Teeth Whitening Toothpaste, Vibrant Peppermint",Toothpaste
Crest,"Crest Pro-Health Gum Detoxify Toothpaste, Deep Clean",Toothpaste
Crest,Crest 3D White Brilliance Pro Enamel Protect Toothpaste,Toothpaste
Crest,"Crest 3D White Whitening Toothpaste, Advanced Deep Clean",Toothpaste
Crest,Crest Pro-Health Advanced with Extra Deep Clean Mouthwash,Mouthwash
Crest,Crest 3D White Diamond Strong Mouthwash,Mouthwash
Crest,Crest Pro-Health Advanced with Extra Whitening Alcohol Free Mouthwash,Mouthwash
Olay,Retinol24 + Peptide Night Face Moisturizer,Moisturizer
Olay,Vitamin C + Peptide 24 Face Moisturizer,Moisturizer
Olay,Niacinamide + Peptide 24 Face Moisturizer,Moisturizer
Olay,Sensitive Facial Cleanser,Facial Cleanser
Olay,Hyaluronic + Peptide 24 Revitalizing Facial Cleanser Fragrance Free,Facial Cleanser
Olay,Retinol24 Skin Renewing Cleanser,Facial Cleanser
Native,Brightening Facial Moisturizer - SPF 30,Moisturizer
Native,Moisturizing Facial Lotion,Moisturizer
Native,Sensitive Facial Moisturizer,Moisturizer
Native,Moisturizing Facial Cleanser,Facial Cleanser
Native,Brightening Facial Cleanser,Facial Cleanser
Native,Sensitive Facial Cleanser,Facial Cleanser
